constituency_code,candidate,party,constituency,state,winner_votes
S25103,SUDIPTA DAS,Bharatiya Janata Party,BIJPUR,WEST BENGAL,71799
S25168,RITESH TIWARI,Bharatiya Janata Party,KASHIPUR-BELGACHHIA,WEST BENGAL,68368
S2561,ABDUL AZIZ DOCTOR,All India Trinamool Congress,LALGOLA,WEST BENGAL,67954
S25170,UMESH RAI,Bharatiya Janata Party,HOWRAH UTTAR,WEST BENGAL,67539
S2552,ISLAM MD NAJRUL,All India Trinamool Congress,MOTHABARI,WEST BENGAL,65705
S25112,MADAN MITRA,All India Trinamool Congress,KAMARHATI,WEST BENGAL,64817
S2555,MOTAB SHAIKH,Indian National Congress,FARAKKA,WEST BENGAL,63050
S25162,BANDYOPADHYAY NAYNA,All India Trinamool Congress,CHOWRANGEE,WEST BENGAL,62938
S2523,NOMAN RAI,Bharatiya Janata Party,DARJEELING,WEST BENGAL,62076
S2556,MOHAMMED NOOR ALAM,All India Trinamool Congress,SAMSERGANJ,WEST BENGAL,61918
S25105,PAWAN KUMAR SINGH,Bharatiya Janata Party,BHATPARA,WEST BENGAL,61683
S25166,PURNIMA CHAKRABORTY,Bharatiya Janata Party,SHYAMPUKUR,WEST BENGAL,60248
S25169,SANJAY KUMAR SINGH,Bharatiya Janata Party,BALLY,WEST BENGAL,57639
S25165,VIJAY OJHA,Bharatiya Janata Party,JORASANKO,WEST BENGAL,52868
