CANDIDATE,PARTY,CONSTITUENCY,STATE,RUNNER_UP_VOTE_PERCENTAGE
"SOMNATH BHARTI","Aam Aadmi Party","NEW DELHI",DELHI,44.23
"JAI PRAKASH AGARWAL","Indian National Congress","CHANDNI CHOWK",DELHI,44.22
"M. LAKSHMANA","Indian National Congress",MYSORE,KARNATAKA,44.21
"AMAR NATH SINGH MAURYA","Samajwadi Party",PHULPUR,"UTTAR PRADESH",44.17
"KANHAIYA KUMAR","Indian National Congress","NORTH-EAST DELHI",DELHI,44.16
"SUDHAKAR TUKARAM SHRANGARE","Bharatiya Janata Party",LATUR,MAHARASHTRA,44.16
"Vinod Sultanpuri","Indian National Congress",SHIMLA,"HIMACHAL PRADESH",44.16
"DULAL CHANDRA GOSWAMI","Janata Dal  (United)",KATIHAR,BIHAR,44.15
"MANMATH KUMAR ROUTRAY","Biju Janata Dal",BHUBANESWAR,ODISHA,44.11
"PORLAL BATHA KHARTE","Indian National Congress",KHARGONE,"MADHYA PRADESH",43.93
"SAHI RAM","Aam Aadmi Party","SOUTH DELHI",DELHI,43.87
"ABDHESH KUMAR ROY","Communist Party of India",BEGUSARAI,BIHAR,43.86
"VINAYAK BHAURAO RAUT","Shiv Sena (Uddhav Balasaheb Thackrey)","RATNAGIRI- SINDHUDURG",MAHARASHTRA,43.83
"ARUP MOHAN PATNAIK","Biju Janata Dal",PURI,ODISHA,43.83
"ABINASH SAMAL","Biju Janata Dal",DHENKANAL,ODISHA,43.82
"LALLU SINGH","Bharatiya Janata Party",FAIZABAD,"UTTAR PRADESH",43.81
"RAVINDAR KUSHAWAHA","Bharatiya Janata Party",SALEMPUR,"UTTAR PRADESH",43.81
"DHARMENDRA KASHYAP","Bharatiya Janata Party",AONLA,"UTTAR PRADESH",43.76
"KUNWAR PUSHPENDRA SINGH CHANDEL","Bharatiya Janata Party",HAMIRPUR,"UTTAR PRADESH",43.76
"ALOK KUMAR MEHTA","Rashtriya Janata Dal",UJIARPUR,BIHAR,43.75
"TOPON KUMAR GOGOI","Bharatiya Janata Party",JORHAT,ASSAM,43.66
"INDU DEVI","Bharatiya Janata Party",KARAULI-DHOLPUR,RAJASTHAN,43.62
"PRAKASH CHIK BARAIK","All India Trinamool Congress",ALIPURDUARS,"WEST BENGAL",43.61
"DEBANGSHU BHATTACHARYA","All India Trinamool Congress",TAMLUK,"WEST BENGAL",43.61
"CHAITARBHAI DAMJIBHAI VASAVA","Aam Aadmi Party",BHARUCH,GUJARAT,43.58
"RAJARAM PAL","Samajwadi Party",AKBARPUR,"UTTAR PRADESH",43.52
PADMARAJ.R.POOJARY,"Indian National Congress","DAKSHINA KANNADA",KARNATAKA,43.43
"KAUSHAL KISHORE","Bharatiya Janata Party",MOHANLALGANJ,"UTTAR PRADESH",43.38
"BHAGWANTH KHUBA","Bharatiya Janata Party",BIDAR,KARNATAKA,43.26
"BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS","All India Trinamool Congress",BANGAON,"WEST BENGAL",43.25
"ANIL KUMAR POLUBOINA","Yuvajana Sramika Rythu Congress Party",NARSARAOPET,"ANDHRA PRADESH",43.23
"RANJIT SINGH","Bharatiya Janata Party",HISAR,HARYANA,43.19
"NAVNEET RAVI RANA","Bharatiya Janata Party",AMRAVATI,MAHARASHTRA,43.16
"AJAY KUMAR","Bharatiya Janata Party",KHERI,"UTTAR PRADESH",43.11
"NIRMAL CHANDRA ROY","All India Trinamool Congress",JALPAIGURI,"WEST BENGAL",43.07
"JYOTSNA GOND","Samajwadi Party",SHAHJAHANPUR,"UTTAR PRADESH",43.06
"M.S. RAKSHA RAMAIAH","Indian National Congress",CHIKKBALLAPUR,KARNATAKA,43.06
"SANJAY SADASHIVRAO MANDLIK","Shiv Sena",KOLHAPUR,MAHARASHTRA,43.03
"RAMESH CHANDRA","Samajwadi Party",BAHARAICH,"UTTAR PRADESH",43.02
"RAHUL RAMESH SHEWALE","Shiv Sena","MUMBAI SOUTH CENTRAL",MAHARASHTRA,43.01
"ANSHUMAN MOHANTY","Biju Janata Dal",KENDRAPARA,ODISHA,43
"SAROJ PANDEY","Bharatiya Janata Party",KORBA,CHHATTISGARH,43
"RAM KRIPAL YADAV","Bharatiya Janata Party",PATLIPUTRA,BIHAR,42.93
"BIJENDRA SINGH","Samajwadi Party",ALIGARH,"UTTAR PRADESH",42.9
"DIGVIJAYA SINGH","Indian National Congress",RAJGARH,"MADHYA PRADESH",42.87
"R. K. SINGH","Bharatiya Janata Party",ARRAH,BIHAR,42.82
"RAJU DEONATH PARVE","Shiv Sena",RAMTEK,MAHARASHTRA,42.81
"DURVIJAY SINGH SHAKYA","Bharatiya Janata Party",BADAUN,"UTTAR PRADESH",42.76
"VIKAS THAKRE","Indian National Congress",NAGPUR,MAHARASHTRA,42.72
"NALLARI KIRAN KUMAR REDDY","Bharatiya Janata Party",RAJAMPET,"ANDHRA PRADESH",42.67
"DR. RAJASHREE MALLICK","Biju Janata Dal",JAGATSINGHPUR,ODISHA,42.63
"NEERAJ TRIPATHI","Bharatiya Janata Party",ALLAHABAD,"UTTAR PRADESH",42.59
"PRADEEP JAIN ADITYA","Indian National Congress",JHANSI,"UTTAR PRADESH",42.57
"DR SUSHIL GUPTA","Aam Aadmi Party",KURUKSHETRA,HARYANA,42.55
"PRADEEP KUMAR","Bharatiya Janata Party",KAIRANA,"UTTAR PRADESH",42.5
"ARJUN RAY","Rashtriya Janata Dal",SITAMARHI,BIHAR,42.45
"RAMAN BHALLA","Indian National Congress",JAMMU,"JAMMU & KASHMIR",42.4
"RITU JAISWAL","Rashtriya Janata Dal",SHEOHAR,BIHAR,42.39
"SANTRUPT MISRA","Biju Janata Dal",CUTTACK,ODISHA,42.34
"PRADEEP YADAV","Indian National Congress",GODDA,JHARKHAND,42.29
"DR RAJESH KUMAR","Vikassheel Insaan Party","PURVI CHAMPARAN",BIHAR,42.28
"MAHABAL MISHRA","Aam Aadmi Party","WEST DELHI",DELHI,42.22
"NIRANJAN JYOTI","Bharatiya Janata Party",FATEHPUR,"UTTAR PRADESH",42.2
"BHANU PRATAP SINGH VERMA","Bharatiya Janata Party",JALAUN,"UTTAR PRADESH",42.19
"MRINAL R HEBBALKAR","Indian National Congress",BELGAUM,KARNATAKA,42.17
"OMKAR SINGH MARKAM","Indian National Congress",MANDLA,"MADHYA PRADESH",42.17
"D K SURESH","Indian National Congress","BANGALORE RURAL",KARNATAKA,42.16
"DR HEENA VIJAYKUMAR GAVIT","Bharatiya Janata Party",NANDURBAR,MAHARASHTRA,42.11
"AAKASH KUMAR SINGH","Indian National Congress",MAHARAJGANJ,BIHAR,42.09
"TAMRADHWAJ SAHU","Indian National Congress",MAHASAMUND,CHHATTISGARH,42.09
"DR. SUBHAS SARKAR","Bharatiya Janata Party",BANKURA,"WEST BENGAL",42.07
"NEERAJ SHEKHAR","Bharatiya Janata Party",BALLIA,"UTTAR PRADESH",42.06
"RAVIDAS MEHROTRA","Samajwadi Party",LUCKNOW,"UTTAR PRADESH",42
"ANANT GEETE","Shiv Sena (Uddhav Balasaheb Thackrey)",RAIGAD,MAHARASHTRA,42
"SANJOG BHIKU WAGHERE PATIL","Shiv Sena (Uddhav Balasaheb Thackrey)",MAVAL,MAHARASHTRA,42
"JOTVA HIRABHAI ARJANBHAI","Indian National Congress",JUNAGADH,GUJARAT,41.99
"SANGITA RAJVANSHI","Samajwadi Party",MISRIKH,"UTTAR PRADESH",41.98
"SURENDRAJEET SINGH AHLUWALIA","Bharatiya Janata Party",ASANSOL,"WEST BENGAL",41.96
"POCHA BRAHMANANDA REDDY","Yuvajana Sramika Rythu Congress Party",NANDYAL,"ANDHRA PRADESH",41.95
"J SHANTHA","Yuvajana Sramika Rythu Congress Party",HINDUPUR,"ANDHRA PRADESH",41.88
"MAHENDER PRATAP SINGH","Indian National Congress",FARIDABAD,HARYANA,41.84
"S.P. MUDDAHANUMEGOWDA","Indian National Congress",TUMKUR,KARNATAKA,41.84
"DR RAM SHANKAR KATHERIA","Bharatiya Janata Party",ETAWAH,"UTTAR PRADESH",41.82
"DHANGEKAR RAVINDRA HEMRAJ","Indian National Congress",PUNE,MAHARASHTRA,41.8
"KAJAL NISHAD","Samajwadi Party",GORAKHPUR,"UTTAR PRADESH",41.78
"USHA VERMA","Samajwadi Party",HARDOI,"UTTAR PRADESH",41.72
"CHIKHALIKAR PRATAPRAO GOVINDRAO","Bharatiya Janata Party",NANDED,MAHARASHTRA,41.61
"SAKET MISRA","Bharatiya Janata Party",SHRAWASTI,"UTTAR PRADESH",41.51
"PROFESSOR M.V RAJEEV GOWDA","Indian National Congress","BANGALORE NORTH",KARNATAKA,41.46
"KUNWAR SARVESH KUMAR","Bharatiya Janata Party",MORADABAD,"UTTAR PRADESH",41.43
"SANJEEV KUMAR BALYAN","Bharatiya Janata Party",MUZAFFARNAGAR,"UTTAR PRADESH",41.35
"CHALLA VAMSHI CHAND REDDY","Indian National Congress",MAHBUBNAGAR,TELANGANA,41.29
"BHISHMA SHANKAR ALIAS KUSHAL TIWARI","Samajwadi Party",DOMARIYAGANJ,"UTTAR PRADESH",41.27
"LOCKET CHATTERJEE","Bharatiya Janata Party",HOOGHLY,"WEST BENGAL",41.24
"RAMDAS CHANDRABHAN TADAS","Bharatiya Janata Party",WARDHA,MAHARASHTRA,41.23
"KUMARI ANITA","Rashtriya Janata Dal",MUNGER,BIHAR,41.2
"DEVENDRA YADAV","Indian National Congress",BILASPUR,CHHATTISGARH,41.16
"B Y RAMAIAH","Yuvajana Sramika Rythu Congress Party",KURNOOLU,"ANDHRA PRADESH",41.15
BALARAJ.S,"Bharatiya Janata Party",CHAMARAJANAGAR,KARNATAKA,41.1
"CHAUDHARI TUSHAR AMARSINH","Indian National Congress",SABARKANTHA,GUJARAT,41.09
"CHADIPIRALLA BHUPESH SUBBARAMI REDDY","Telugu Desam",KADAPA,"ANDHRA PRADESH",41.03
"VAIBHAV GEHLOT","Indian National Congress",JALORE,RAJASTHAN,41.02
"VISHWADEEP SINGH","Bharatiya Janata Party",FIROZABAD,"UTTAR PRADESH",40.98
"DR. HIRANMOY CHATTOPADHYAYA","Bharatiya Janata Party",GHATAL,"WEST BENGAL",40.93
"MADAN MOHAN TIWARI","Indian National Congress","PASCHIM CHAMPARAN",BIHAR,40.86
"SUSHIL KUMAR SINGH","Bharatiya Janata Party",AURANGABAD,BIHAR,40.86
"KARUMURI SUNIL KUMAR","Yuvajana Sramika Rythu Congress Party",ELURU,"ANDHRA PRADESH",40.84
"RAJSHRITAI HEMANT PATIL (MAHALLE)","Shiv Sena","YAVATMAL- WASHIM",MAHARASHTRA,40.83
"ASHOK  MAHADEORAO NETE","Bharatiya Janata Party",GADCHIROLI,MAHARASHTRA,40.82
"KUMAR SARVJEET","Rashtriya Janata Dal",GAYA,BIHAR,40.8
"AJAY RAI","Indian National Congress",VARANASI,"UTTAR PRADESH",40.74
"VIJAY KUMAR SHUKLA","Rashtriya Janata Dal",VAISHALI,BIHAR,40.73
"GHANSHYAM SINGH LODHI","Bharatiya Janata Party",RAMPUR,"UTTAR PRADESH",40.71
"NAKUL KAMALNATH","Indian National Congress",CHHINDWARA,"MADHYA PRADESH",40.7
"ANANTKUMAR HASMUKHBHAI PATEL","Indian National Congress",VALSAD,GUJARAT,40.66
"SUNETRA AJITDADA PAWAR","Nationalist Congress Party",BARAMATI,MAHARASHTRA,40.64
"KUMARAGURU R","All India Anna Dravida Munnetra Kazhagam",KALLAKURICHI,"TAMIL NADU",40.64
"ADHALRAO SHIVAJI DATTATREY","Nationalist Congress Party",SHIRUR,MAHARASHTRA,40.58
"DR. MAHENDRA NATH  PANDEY","Bharatiya Janata Party",CHANDAULI,"UTTAR PRADESH",40.57
"SATPAL RAIZADA","Indian National Congress",HAMIRPUR,"HIMACHAL PRADESH",40.55
"AJEET SHARMA","Indian National Congress",BHAGALPUR,BIHAR,40.52
"ARCHANA KUMARI","Rashtriya Janata Dal",JAMUI,BIHAR,40.5
"RADHESHYAM MUVEL","Indian National Congress",DHAR,"MADHYA PRADESH",40.4
"ANSHUL AVIJIT","Indian National Congress","PATNA SAHIB",BIHAR,40.39
"DANAM NAGENDER","Indian National Congress",SECUNDERABAD,TELANGANA,40.38
"SANJAY (KAKA) PATIL","Bharatiya Janata Party",SANGLI,MAHARASHTRA,40.35
"KUNWAR DANISH ALI","Indian National Congress",AMROHA,"UTTAR PRADESH",40.32
"MIRA BORTHAKUR GOSWAMI","Indian National Congress",GUWAHATI,ASSAM,40.25
"MALAGUNDLA SANKAR NARAYANA","Yuvajana Sramika Rythu Congress Party",ANANTHAPUR,"ANDHRA PRADESH",40.24
"LOKHANDE SADASHIV KISAN","Shiv Sena",SHIRDI,MAHARASHTRA,40.23
"AJAY PRATAP SINGH URF PINTU SAITHWAR","Samajwadi Party","KUSHI NAGAR","UTTAR PRADESH",40.22
"VINOD KUMAR SONKAR","Bharatiya Janata Party",KAUSHAMBI,"UTTAR PRADESH",40.21
"AMRITA ROY","Bharatiya Janata Party",KRISHNANAGAR,"WEST BENGAL",40.13
"CH LAL SINGH","Indian National Congress",UDHAMPUR,"JAMMU & KASHMIR",40.11
"ADV ARUN KUMAR C A","Communist Party of India",MAVELIKKARA,KERALA,40.07
"RAJESH VERMA","Bharatiya Janata Party",SITAPUR,"UTTAR PRADESH",40.06
"KAWASI LAKHMA","Indian National Congress",BASTAR,CHHATTISGARH,40.02
"ARJUN SINGH","Bharatiya Janata Party",BARRACKPUR,"WEST BENGAL",39.92
"CHAUDHARY SIDDHARTH AMARSINH","Indian National Congress",BARDOLI,GUJARAT,39.85
"BHAGAT RAM","Samajwadi Party",KAISERGANJ,"UTTAR PRADESH",39.77
"ROSELINA TIRKEY","Indian National Congress",KAZIRANGA,ASSAM,39.76
"JAI PRAKASH NARAYAN YADAV","Rashtriya Janata Dal",BANKA,BIHAR,39.72
"SANGAM LAL GUPTA","Bharatiya Janata Party",PRATAPGARH,"UTTAR PRADESH",39.66
"ACHYUTANANDA SAMANTA","Biju Janata Dal",KANDHAMAL,ODISHA,39.66
"RAJAN BABURAO VICHARE","Shiv Sena (Uddhav Balasaheb Thackrey)",THANE,MAHARASHTRA,39.51
"REKHA VERMA","Bharatiya Janata Party",DHAURAHRA,"UTTAR PRADESH",39.51
"PRANAB PRAKASH DAS","Biju Janata Dal",SAMBALPUR,ODISHA,39.47
"K K SHAILAJA TEACHER","Communist Party of India  (Marxist)",VADAKARA,KERALA,39.45
"SHRAWAN KUMAR","Rashtriya Janata Dal",NAWADA,BIHAR,39.42
"RANJEETSINGH HINDURAO NAIK NIMBALKAR","Bharatiya Janata Party",MADHA,MAHARASHTRA,39.37
"HARISH CHANDRA ALIAS HARISH DWIVEDI","Bharatiya Janata Party",BASTI,"UTTAR PRADESH",39.34
"RAGHAV LAKHANPAL","Bharatiya Janata Party",SAHARANPUR,"UTTAR PRADESH",39.32
"REDDEPPA.N .","Yuvajana Sramika Rythu Congress Party",CHITTOOR,"ANDHRA PRADESH",39.3
"LALUBHAI BABUBHAI PATEL","Bharatiya Janata Party","DAMAN & DIU","DADRA & NAGAR HAVELI AND DAMAN & DIU",39.28
"RAMESH CHAND BIND","Samajwadi Party",MIRZAPUR,"UTTAR PRADESH",39.25
"BHOLANATH (B.P. SAROJ)","Bharatiya Janata Party",MACHHLISHAHR,"UTTAR PRADESH",39.19
"NARENDRA PATEL","Indian National Congress",KHANDWA,"MADHYA PRADESH",39.19
"NANDIGAM SURESH BABU","Yuvajana Sramika Rythu Congress Party",BAPATLA,"ANDHRA PRADESH",39.17
"JEEVANREDDY THATIPARTHI","Indian National Congress",NIZAMABAD,TELANGANA,39.16
"SHANTIRAM MAHATO","All India Trinamool Congress",PURULIA,"WEST BENGAL",39.15
"SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR","Shiv Sena (Uddhav Balasaheb Thackrey)",HATKANANGALE,MAHARASHTRA,39.1
"DR. MENKA DEVI SINGH","Indian National Congress",RAIGARH,CHHATTISGARH,39.08
"RAJRANI RAWAT","Bharatiya Janata Party",BARABANKI,"UTTAR PRADESH",39.07
"MD ALI ASHRAF FATMI","Rashtriya Janata Dal",MADHUBANI,BIHAR,39.07
"B. B. PATIL","Bharatiya Janata Party",ZAHIRABAD,TELANGANA,39
"NEETU SATYAPAL SINGH SIKARWAR","Indian National Congress",MORENA,"MADHYA PRADESH",38.99
"SAMRAT ASHOK SINGH SARASWAR","Indian National Congress",BALAGHAT,"MADHYA PRADESH",38.93
"RAMNATH SINGH SIKARWAR","Indian National Congress","FATEHPUR SIKRI","UTTAR PRADESH",38.9
"GEETHA SHIVARAJKUMAR","Indian National Congress",SHIMOGA,KARNATAKA,38.85
"VENKATARAMANE GOWDA (STAR CHANDRU)","Indian National Congress",MANDYA,KARNATAKA,38.85
"MANEKA SANJAY GANDHI","Bharatiya Janata Party",SULTANPUR,"UTTAR PRADESH",38.82
"DILIP GHOSH","Bharatiya Janata Party",BARDHAMAN-DURGAPUR,"WEST BENGAL",38.8
"RANJITA SAHU","Biju Janata Dal",ASKA,ODISHA,38.73
"SUBRAT PATHAK","Bharatiya Janata Party",KANNAUJ,"UTTAR PRADESH",38.71
"UDIT RAJ","Indian National Congress","NORTH-WEST DELHI",DELHI,38.71
"MUKUT MANI ADHIKARI","All India Trinamool Congress",RANAGHAT,"WEST BENGAL",38.65
"ATHRAM SUGUNA","Indian National Congress",ADILABAD,TELANGANA,38.65
"ARJUN MUNDA","Bharatiya Janata Party",KHUNTI,JHARKHAND,38.64
"RAMYA HARIDAS","Indian National Congress",ALATHUR,KERALA,38.63
"SHIV CHANDRA RAM","Rashtriya Janata Dal",HAJIPUR,BIHAR,38.57
"DEEPAK YADAV","Rashtriya Janata Dal","VALMIKI NAGAR",BIHAR,38.55
"KULDEEP RAI SHARMA","Indian National Congress","ANDAMAN & NICOBAR ISLANDS","ANDAMAN & NICOBAR ISLANDS",38.54
"DA KUMAR CHANDRADEEP","Rashtriya Janata Dal",MADHEPURA,BIHAR,38.53
"M.V. JAYARAJAN","Communist Party of India  (Marxist)",KANNUR,KERALA,38.5
"K. JAYAPRAKASH HEGDE","Indian National Congress","UDUPI CHIKMAGALUR",KARNATAKA,38.48
"KANTILAL BHURIA","Indian National Congress",RATLAM,"MADHYA PRADESH",38.41
"LALITESHPATI TRIPATHI","All India Trinamool Congress",BHADOHI,"UTTAR PRADESH",38.33
"SIMHADRI CHANDRA SEKHAR RAO","Yuvajana Sramika Rythu Congress Party",MACHILIPATNAM,"ANDHRA PRADESH",38.21
"DR. PRANAT TUDU","Bharatiya Janata Party",JHARGRAM,"WEST BENGAL",38.2
"UDAY SHANKAR HAZARIKA","Indian National Congress",LAKHIMPUR,ASSAM,38.13
"KANHAIYA LAL MEENA","Bharatiya Janata Party",DAUSA,RAJASTHAN,38.12
"BHAGWAT SARAN GANGWAR","Samajwadi Party",PILIBHIT,"UTTAR PRADESH",38.09
"DR GADDAM RANJITH REDDY","Indian National Congress",CHEVELLA,TELANGANA,38.02
"MITHILESH TIWARI","Bharatiya Janata Party",BUXAR,BIHAR,38.02
"BELLANA CHANDRASEKHAR","Yuvajana Sramika Rythu Congress Party",VIZIANAGARAM,"ANDHRA PRADESH",38
"VIGNESH P","All India Anna Dravida Munnetra Kazhagam",SALEM,"TAMIL NADU",37.99
"DHANURJAYA SIDU","Biju Janata Dal",KEONJHAR,ODISHA,37.95
"SMRITI IRANI","Bharatiya Janata Party",AMETHI,"UTTAR PRADESH",37.94
"LALIT KUMAR YADAV","Rashtriya Janata Dal",DARBHANGA,BIHAR,37.93
"PRATAP SINGH KHACHARIYAWAS","Indian National Congress",JAIPUR,RAJASTHAN,37.93
"SOWMYA REDDY","Indian National Congress","BANGALORE SOUTH",KARNATAKA,37.92
"DEEP BAYAN","Indian National Congress",BARPETA,ASSAM,37.83
"VENUMBAKA VIJAYASAI REDDY","Yuvajana Sramika Rythu Congress Party",NELLORE,"ANDHRA PRADESH",37.82
