CONSTITUENCY,STATE,NO_OF_CANDIDATES
KAUSHAMBI,"UTTAR PRADESH",11
BAHARAICH,"UTTAR PRADESH",11
GHAZIPUR,"UTTAR PRADESH",11
CHANDAULI,"UTTAR PRADESH",11
BHADOHI,"UTTAR PRADESH",11
MIRZAPUR,"UTTAR PRADESH",11
ARAMBAGH,"WEST BENGAL",11
SURGUJA,CHHATTISGARH,11
"NAINITAL-UDHAMSINGH NAGAR",UTTARAKHAND,11
DARRANG-UDALGURI,ASSAM,12
KAZIRANGA,ASSAM,12
GOPALGANJ,BIHAR,12
KACHCHH,GUJARAT,12
JUNAGADH,GUJARAT,12
CHALAKUDY,KERALA,12
ALAPPUZHA,KERALA,12
KHANDWA,"MADHYA PRADESH",12
NANDURBAR,MAHARASHTRA,12
KEONJHAR,ODISHA,12
BALASORE,ODISHA,12
KALAHANDI,ODISHA,12
JAGATSINGHPUR,ODISHA,12
BERHAMPUR,ODISHA,12
KORAPUT,ODISHA,12
"TONK-SAWAI MADHOPUR",RAJASTHAN,12
BARMER,RAJASTHAN,12
KANCHEEPURAM,"TAMIL NADU",12
MUZAFFARNAGAR,"UTTAR PRADESH",12
BIJNOR,"UTTAR PRADESH",12
AGRA,"UTTAR PRADESH",12
BADAUN,"UTTAR PRADESH",12
KHERI,"UTTAR PRADESH",12
MOHANLALGANJ,"UTTAR PRADESH",12
KANPUR,"UTTAR PRADESH",12
HAMIRPUR,"UTTAR PRADESH",12
"SANT KABIR NAGAR","UTTAR PRADESH",12
ALIPURDUARS,"WEST BENGAL",12
MURSHIDABAD,"WEST BENGAL",12
KRISHNANAGAR,"WEST BENGAL",12
JOYNAGAR,"WEST BENGAL",12
SRERAMPUR,"WEST BENGAL",12
BASTAR,CHHATTISGARH,12
"TEHRI GARHWAL",UTTARAKHAND,12
RAJAHMUNDRY,"ANDHRA PRADESH",13
KOKRAJHAR,ASSAM,13
"PURVI CHAMPARAN",BIHAR,13
SHEOHAR,BIHAR,13
MADHUBANI,BIHAR,13
KISHANGANJ,BIHAR,13
SAMASTIPUR,BIHAR,13
KHAGARIA,BIHAR,13
BHAGALPUR,BIHAR,13
MUNGER,BIHAR,13
BANASKANTHA,GUJARAT,13
PORBANDAR,GUJARAT,13
KHEDA,GUJARAT,13
HAMIRPUR,"HIMACHAL PRADESH",13
KANNUR,KERALA,13
KOLLAM,KERALA,13
THIRUVANANTHAPURAM,KERALA,13
HOSHANGABAD,"MADHYA PRADESH",13
RATLAM,"MADHYA PRADESH",13
BHUBANESWAR,ODISHA,13
JALORE,RAJASTHAN,13
THANJAVUR,"TAMIL NADU",13
MORADABAD,"UTTAR PRADESH",13
SAMBHAL,"UTTAR PRADESH",13
AMROHA,"UTTAR PRADESH",13
DHAURAHRA,"UTTAR PRADESH",13
HARDOI,"UTTAR PRADESH",13
BANDA,"UTTAR PRADESH",13
SHRAWASTI,"UTTAR PRADESH",13
MACHHLISHAHR,"UTTAR PRADESH",13
ROBERTSGANJ,"UTTAR PRADESH",13
JALPAIGURI,"WEST BENGAL",13
BARASAT,"WEST BENGAL",13
MATHURAPUR,"WEST BENGAL",13
"DIAMOND HARBOUR","WEST BENGAL",13
ULUBERIA,"WEST BENGAL",13
HOOGHLY,"WEST BENGAL",13
PURULIA,"WEST BENGAL",13
BIRBHUM,"WEST BENGAL",13
ADILABAD,TELANGANA,13
"ANDAMAN & NICOBAR ISLANDS","ANDAMAN & NICOBAR ISLANDS",13
UDHAMPUR,"JAMMU & KASHMIR",13
ARAKU,"ANDHRA PRADESH",14
SRIKAKULAM,"ANDHRA PRADESH",14
ELURU,"ANDHRA PRADESH",14
HINDUPUR,"ANDHRA PRADESH",14
DHUBRI,ASSAM,14
NAGAON,ASSAM,14
SIWAN,BIHAR,14
UJIARPUR,BIHAR,14
KARAKAT,BIHAR,14
BHAVNAGAR,GUJARAT,14
BHARUCH,GUJARAT,14
BELGAUM,KARNATAKA,14
"UTTARA KANNADA",KARNATAKA,14
KOZHIKODE,KERALA,14
SAGAR,"MADHYA PRADESH",14
BALAGHAT,"MADHYA PRADESH",14
VIDISHA,"MADHYA PRADESH",14
RAIGAD,MAHARASHTRA,14
MAYURBHANJ,ODISHA,14
JAJPUR,ODISHA,14
CHURU,RAJASTHAN,14
JAIPUR,RAJASTHAN,14
PALI,RAJASTHAN,14
TIRUPPUR,"TAMIL NADU",14
BAREILLY,"UTTAR PRADESH",14
AMETHI,"UTTAR PRADESH",14
BARABANKI,"UTTAR PRADESH",14
FAIZABAD,"UTTAR PRADESH",14
GORAKHPUR,"UTTAR PRADESH",14
BALLIA,"UTTAR PRADESH",14
BALURGHAT,"WEST BENGAL",14
JHARGRAM,"WEST BENGAL",14
BANKURA,"WEST BENGAL",14
RAIGARH,CHHATTISGARH,14
GARHWAL,UTTARAKHAND,14
KADAPA,"ANDHRA PRADESH",15
NELLORE,"ANDHRA PRADESH",15
BARPETA,ASSAM,15
SITAMARHI,BIHAR,15
SARAN,BIHAR,15
HAJIPUR,BIHAR,15
ARRAH,BIHAR,15
BUXAR,BIHAR,15
GAYA,BIHAR,15
SABARKANTHA,GUJARAT,15
GANDHINAGAR,GUJARAT,15
SURENDRANAGAR,GUJARAT,15
JAMNAGAR,GUJARAT,15
VADODARA,GUJARAT,15
NAVSARI,GUJARAT,15
AMBALA,HARYANA,15
GULBARGA,KARNATAKA,15
HAVERI,KARNATAKA,15
MANDYA,KARNATAKA,15
CHAMARAJANAGAR,KARNATAKA,15
KOTTAYAM,KERALA,15
DAMOH,"MADHYA PRADESH",15
KHAJURAHO,"MADHYA PRADESH",15
REWA,"MADHYA PRADESH",15
MANDLA,"MADHYA PRADESH",15
INDORE,"MADHYA PRADESH",15
JALGAON,MAHARASHTRA,15
"MUMBAI SOUTH",MAHARASHTRA,15
SAMBALPUR,ODISHA,15
"FATEHGARH SAHIB",PUNJAB,15
SIKAR,RAJASTHAN,15
AJMER,RAJASTHAN,15
SIKKIM,SIKKIM,15
TIRUVALLUR,"TAMIL NADU",15
CHIDAMBARAM,"TAMIL NADU",15
KAIRANA,"UTTAR PRADESH",15
GHAZIABAD,"UTTAR PRADESH",15
ALIGARH,"UTTAR PRADESH",15
ALLAHABAD,"UTTAR PRADESH",15
JAUNPUR,"UTTAR PRADESH",15
COOCHBEHAR,"WEST BENGAL",15
DARJEELING,"WEST BENGAL",15
JANGIPUR,"WEST BENGAL",15
BARRACKPUR,"WEST BENGAL",15
"DUM DUM","WEST BENGAL",15
HOWRAH,"WEST BENGAL",15
RAJMAHAL,JHARKHAND,15
SINGHBHUM,JHARKHAND,15
HARIDWAR,UTTARAKHAND,15
VIZIANAGARAM,"ANDHRA PRADESH",16
ANAKAPALLE,"ANDHRA PRADESH",16
KAKINADA,"ANDHRA PRADESH",16
AMALAPURAM,"ANDHRA PRADESH",16
MACHILIPATNAM,"ANDHRA PRADESH",16
NARSARAOPET,"ANDHRA PRADESH",16
BAPATLA,"ANDHRA PRADESH",16
SUPAUL,BIHAR,16
VAISHALI,BIHAR,16
JAHANABAD,BIHAR,16
HASSAN,KARNATAKA,16
"BANGALORE RURAL",KARNATAKA,16
MORENA,"MADHYA PRADESH",16
GUNA,"MADHYA PRADESH",16
CHHINDWARA,"MADHYA PRADESH",16
RAJGARH,"MADHYA PRADESH",16
AKOLA,MAHARASHTRA,16
CHANDRAPUR,MAHARASHTRA,16
"MUMBAI SOUTH CENTRAL",MAHARASHTRA,16
"JAIPUR RURAL",RAJASTHAN,16
JODHPUR,RAJASTHAN,16
KOTA,RAJASTHAN,16
POLLACHI,"TAMIL NADU",16
DINDIGUL,"TAMIL NADU",16
TENKASI,"TAMIL NADU",16
"GAUTAM BUDDHA NAGAR","UTTAR PRADESH",16
MATHURA,"UTTAR PRADESH",16
KANNAUJ,"UTTAR PRADESH",16
FATEHPUR,"UTTAR PRADESH",16
PHULPUR,"UTTAR PRADESH",16
"MALDAHA UTTAR","WEST BENGAL",16
BAHARAMPUR,"WEST BENGAL",16
BANGAON,"WEST BENGAL",16
BASIRHAT,"WEST BENGAL",16
"KOLKATA UTTAR","WEST BENGAL",16
RAJNANDGAON,CHHATTISGARH,16
KODARMA,JHARKHAND,16
LOHARDAGA,JHARKHAND,16
SATARA,MAHARASHTRA,17
HOSHIARPUR,PUNJAB,17
NILGIRIS,"TAMIL NADU",17
JADAVPUR,"WEST BENGAL",17
GIRIDIH,JHARKHAND,17
VIJAYAWADA,"ANDHRA PRADESH",18
"PATNA SAHIB",BIHAR,18
BHIWANI-MAHENDRAGARH,HARYANA,18
DHARWAD,KARNATAKA,18
SIDHI,"MADHYA PRADESH",18
"YAVATMAL- WASHIM",MAHARASHTRA,18
VILUPPURAM,"TAMIL NADU",18
MAYILADUTHURAI,"TAMIL NADU",18
"MALDAHA DAKSHIN","WEST BENGAL",18
"KOLKATA DAKSHIN","WEST BENGAL",18
MAHASAMUND,CHHATTISGARH,18
HAZARIBAGH,JHARKHAND,18
"NEW DELHI",DELHI,18
RAJAMPET,"ANDHRA PRADESH",19
"AHMEDABAD EAST",GUJARAT,19
CHIKKODI,KARNATAKA,19
BIDAR,KARNATAKA,19
TUMKUR,KARNATAKA,19
MYSORE,KARNATAKA,19
KOLAR,KARNATAKA,19
DHULE,MAHARASHTRA,19
"BHANDARA GONDIYA",MAHARASHTRA,19
BATHINDA,PUNJAB,19
CHITTORGARH,RAJASTHAN,19
JANJGIR-CHAMPA,CHHATTISGARH,19
KURNOOLU,"ANDHRA PRADESH",20
CHITTOOR,"ANDHRA PRADESH",20
SIRSA,HARYANA,20
KARNAL,HARYANA,20
KOPPAL,KARNATAKA,20
GWALIOR,"MADHYA PRADESH",20
SATNA,"MADHYA PRADESH",20
JABALPUR,"MADHYA PRADESH",20
"MUMBAI NORTH",MAHARASHTRA,20
CUDDALORE,"TAMIL NADU",20
DUMKA,JHARKHAND,20
GODDA,JHARKHAND,20
ZAHIRABAD,TELANGANA,20
NAGARKURNOOL,TELANGANA,20
CHANDIGARH,CHANDIGARH,20
CHITRADURGA,KARNATAKA,21
"MUMBAI NORTH EAST",MAHARASHTRA,21
SHIRDI,MAHARASHTRA,21
SANGLI,MAHARASHTRA,21
JALANDHAR,PUNJAB,21
SIVAGANGA,"TAMIL NADU",21
RAIGANJ,"WEST BENGAL",21
"EAST DELHI",DELHI,21
ANANTNAG-RAJOURI,"JAMMU & KASHMIR",21
NARSAPURAM,"ANDHRA PRADESH",22
ANANTHAPUR,"ANDHRA PRADESH",22
"BANGALORE NORTH",KARNATAKA,22
BULDHANA,MAHARASHTRA,22
"MUMBAI NORTH WEST",MAHARASHTRA,22
SOLAPUR,MAHARASHTRA,22
KALLAKURICHI,"TAMIL NADU",22
MADURAI,"TAMIL NADU",22
PATLIPUTRA,BIHAR,23
SONIPAT,HARYANA,23
BAGALKOT,KARNATAKA,23
"BANGALORE SOUTH",KARNATAKA,23
BHOPAL,"MADHYA PRADESH",23
KANNIYAKUMARI,"TAMIL NADU",23
CHATRA,JHARKHAND,23
MALKAJGIRI,TELANGANA,23
NALGONDA,TELANGANA,23
"SOUTH DELHI",DELHI,23
BARAMULLA,"JAMMU & KASHMIR",23
JAMMU,"JAMMU & KASHMIR",23
THIRUPATHI,"ANDHRA PRADESH",24
GURGAON,HARYANA,24
SHIMOGA,KARNATAKA,24
NANDED,MAHARASHTRA,24
KOLHAPUR,MAHARASHTRA,24
SANGRUR,PUNJAB,24
PERAMBALUR,"TAMIL NADU",24
TIRUNELVELI,"TAMIL NADU",24
MAHABUBABAD,TELANGANA,24
KARIMGANJ,ASSAM,25
FARIDABAD,HARYANA,25
"BANGALORE CENTRAL",KARNATAKA,25
RAVER,MAHARASHTRA,25
WARDHA,MAHARASHTRA,25
THANE,MAHARASHTRA,25
DHARMAPURI,"TAMIL NADU",25
"WEST DELHI",DELHI,25
SRINAGAR,"JAMMU & KASHMIR",25
ONGOLE,"ANDHRA PRADESH",26
AHMEDNAGAR,MAHARASHTRA,26
SALEM,"TAMIL NADU",26
THENI,"TAMIL NADU",26
RAMANATHAPURAM,"TAMIL NADU",26
DURG,CHHATTISGARH,26
DHANBAD,JHARKHAND,26
JAMSHEDPUR,JHARKHAND,26
"CHANDNI CHOWK",DELHI,26
MUZAFFARPUR,BIHAR,27
ROHTAK,HARYANA,27
NAGPUR,MAHARASHTRA,27
JALNA,MAHARASHTRA,27
GURDASPUR,PUNJAB,27
PATIALA,PUNJAB,27
ARAKKONAM,"TAMIL NADU",27
PRATAPGARH,"UTTAR PRADESH",27
"NORTH-WEST DELHI",DELHI,27
PUDUCHERRY,PUDUCHERRY,27
BHIWANDI,MAHARASHTRA,28
"MUMBAI NORTH CENTRAL",MAHARASHTRA,28
HATKANANGALE,MAHARASHTRA,28
"KHADOOR SAHIB",PUNJAB,28
KRISHNAGIRI,"TAMIL NADU",28
VIRUDHUNAGAR,"TAMIL NADU",28
KORBA,CHHATTISGARH,28
RANCHI,JHARKHAND,28
HISAR,HARYANA,29
RAMTEK,MAHARASHTRA,29
KALYAN,MAHARASHTRA,29
LATUR,MAHARASHTRA,29
"ANANDPUR SAHIB",PUNJAB,29
FARIDKOT,PUNJAB,29
THOOTHUKKUDI,"TAMIL NADU",29
GHOSI,"UTTAR PRADESH",29
KARIMNAGAR,TELANGANA,29
"NORTH-EAST DELHI",DELHI,29
NALANDA,BIHAR,30
CHIKKBALLAPUR,KARNATAKA,30
FIROZPUR,PUNJAB,30
ARANI,"TAMIL NADU",30
NIZAMABAD,TELANGANA,30
GUNTUR,"ANDHRA PRADESH",31
DAVANAGERE,KARNATAKA,31
AMRITSAR,PUNJAB,31
HYDERABAD,TELANGANA,31
NANDYAL,"ANDHRA PRADESH",32
KURUKSHETRA,HARYANA,32
NASHIK,MAHARASHTRA,32
OSMANABAD,MAHARASHTRA,32
"CHENNAI CENTRAL","TAMIL NADU",32
SRIPERUMBUDUR,"TAMIL NADU",32
VELLORE,"TAMIL NADU",32
TIRUVANNAMALAI,"TAMIL NADU",32
ERODE,"TAMIL NADU",32
MAHBUBNAGAR,TELANGANA,32
SHIRUR,MAHARASHTRA,33
MADHA,MAHARASHTRA,33
VISAKHAPATNAM,"ANDHRA PRADESH",34
HINGOLI,MAHARASHTRA,34
MAVAL,MAHARASHTRA,34
PARBHANI,MAHARASHTRA,35
PUNE,MAHARASHTRA,36
"CHENNAI NORTH","TAMIL NADU",36
TIRUCHIRAPPALLI,"TAMIL NADU",36
KHAMMAM,TELANGANA,36
AMRAVATI,MAHARASHTRA,38
AURANGABAD,MAHARASHTRA,38
COIMBATORE,"TAMIL NADU",38
BILASPUR,CHHATTISGARH,38
BARAMATI,MAHARASHTRA,39
RAIPUR,CHHATTISGARH,39
BHONGIR,TELANGANA,40
NAMAKKAL,"TAMIL NADU",41
BEED,MAHARASHTRA,42
"CHENNAI SOUTH","TAMIL NADU",42
PEDDAPALLE,TELANGANA,43
WARANGAL,TELANGANA,43
LUDHIANA,PUNJAB,44
CHEVELLA,TELANGANA,44
MEDAK,TELANGANA,45
SECUNDERABAD,TELANGANA,46
KARUR,"TAMIL NADU",55
