STATE,CONSTITUENCY,WINNER,WINNER_PARTY,WINNER_VOTES,RUNNER_UP,RUNNER_UP_PARTY,RUNNER_UP_VOTES,VOTE_DIFFERENCE
BIHAR,ARARIA,"PRADEEP KUMAR SINGH","Bharatiya Janata Party",600146,SHAHNAWAZ,"Rashtriya Janata Dal",580052,20094
KERALA,ALATHUR,K.RADHAKRISHNAN,"Communist Party of India  (Marxist)",403447,"RAMYA HARIDAS","Indian National Congress",383336,20111
PUNJAB,LUDHIANA,"AMRINDER SINGH RAJA WARRING","Indian National Congress",322224,"RAVNEET SINGH BITTU","Bharatiya Janata Party",301282,20942
"UTTAR PRADESH",KANPUR,"RAMESH AWASTHI","Bharatiya Janata Party",443055,"ALOK MISRA","Indian National Congress",422087,20968
"TAMIL NADU",DHARMAPURI,"MANI. A.","Dravida Munnetra Kazhagam",432667,"SOWMIYA ANBUMANI","Pattali Makkal Katchi",411367,21300
ODISHA,KANDHAMAL,"SUKANTA KUMAR PANIGRAHI","Bharatiya Janata Party",416415,"ACHYUTANANDA SAMANTA","Biju Janata Dal",395044,21371
"UTTAR PRADESH",CHANDAULI,"BIRENDRA SINGH","Samajwadi Party",474476,"DR. MAHENDRA NATH  PANDEY","Bharatiya Janata Party",452911,21565
HARYANA,SONIPAT,"SATPAL BRAHAMCHARI","Indian National Congress",548682,"MOHAN LAL BADOLI","Bharatiya Janata Party",526866,21816
JHARKHAND,DUMKA,"NALIN SOREN","Jharkhand Mukti Morcha",547370,"SITA MURMU","Bharatiya Janata Party",524843,22527
BIHAR,PURNIA,"RAJESH RANJAN ALIAS PAPPU YADAV",Independent,567556,"SANTOSH KUMAR","Janata Dal  (United)",543709,23847
"ANDAMAN & NICOBAR ISLANDS","ANDAMAN & NICOBAR ISLANDS","BISHNU PADA RAY","Bharatiya Janata Party",102436,"KULDEEP RAI SHARMA","Indian National Congress",78040,24396
"UTTAR PRADESH",MUZAFFARNAGAR,"HARENDRA SINGH MALIK","Samajwadi Party",470721,"SANJEEV KUMAR BALYAN","Bharatiya Janata Party",446049,24672
KARNATAKA,DAVANAGERE,"DR. PRABHA MALLIKARJUN","Indian National Congress",633059,"GAYITHRI SIDDESHWARA","Bharatiya Janata Party",606965,26094
"WEST BENGAL",MEDINIPUR,"JUNE MALIAH","All India Trinamool Congress",702192,"AGNIMITRA PAUL","Bharatiya Janata Party",675001,27191
KARNATAKA,GULBARGA,RADHAKRISHNA,"Indian National Congress",652321,"DR. UMESH G JADHAV","Bharatiya Janata Party",625116,27205
"UTTAR PRADESH",HARDOI,"JAI PRAKASH","Bharatiya Janata Party",486798,"USHA VERMA","Samajwadi Party",458942,27856
LADAKH,LADAKH,"MOHMAD HANEEFA",Independent,65259,"TSERING NAMGYAL","Indian National Congress",37397,27862
"UTTAR PRADESH",ETAH,"DEVESH SHAKYA","Samajwadi Party",475808,"RAJVEER SINGH (RAJU BHAIYA)","Bharatiya Janata Party",447756,28052
"UTTAR PRADESH",AMROHA,"KANWAR SINGH TANWAR","Bharatiya Janata Party",476506,"KUNWAR DANISH ALI","Indian National Congress",447836,28670
MAHARASHTRA,AHMEDNAGAR,"NILESH DNYANDEV LANKE","Nationalist Congress Party – Sharadchandra Pawar",624797,"DR. SUJAY RADHAKRISHNA VIKHEPATIL","Bharatiya Janata Party",595868,28929
HARYANA,KURUKSHETRA,"NAVEEN JINDAL","Bharatiya Janata Party",542175,"DR SUSHIL GUPTA","Aam Aadmi Party",513154,29021
"TAMIL NADU",NAMAKKAL,"MATHESWARAN V S","Dravida Munnetra Kazhagam",462036,"TAMILMANI S","All India Anna Dravida Munnetra Kazhagam",432924,29112
BIHAR,SHEOHAR,"LOVELY ANAND","Janata Dal  (United)",476612,"RITU JAISWAL","Rashtriya Janata Dal",447469,29143
MAHARASHTRA,BULDHANA,"JADHAV PRATAPRAO GANPATRAO","Shiv Sena",349867,"NARENDRA DAGDU KHEDEKAR","Shiv Sena (Uddhav Balasaheb Thackrey)",320388,29479
MAHARASHTRA,"MUMBAI NORTH EAST","SANJAY DINA PATIL","Shiv Sena (Uddhav Balasaheb Thackrey)",450937,"MIHIR CHANDRAKANT KOTECHA","Bharatiya Janata Party",421076,29861
BIHAR,BUXAR,"SUDHAKAR SINGH","Rashtriya Janata Dal",438345,"MITHILESH TIWARI","Bharatiya Janata Party",408254,30091
GUJARAT,BANASKANTHA,"GENIBEN NAGAJI THAKOR","Indian National Congress",671883,"DR. REKHABEN HITESHBHAI CHAUDHARI","Bharatiya Janata Party",641477,30406
"ARUNACHAL PRADESH","ARUNACHAL EAST","TAPIR GAO","Bharatiya Janata Party",145581,"BOSIRAM SIRAM","Indian National Congress",115160,30421
GUJARAT,PATAN,"DABHI  BHARATSINHJI  SHANKARJI","Bharatiya Janata Party",591947,"CHANDANJI TALAJI THAKOR","Indian National Congress",560071,31876
KARNATAKA,"BANGALORE CENTRAL","P C MOHAN","Bharatiya Janata Party",658915,"MANSOOR ALI KHAN","Indian National Congress",626208,32707
MAHARASHTRA,SATARA,"SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE","Bharatiya Janata Party",571134,"SHASHIKANT JAYVANTRAO SHINDE","Nationalist Congress Party – Sharadchandra Pawar",538363,32771
"WEST BENGAL",BANKURA,"ARUP CHAKRABORTY","All India Trinamool Congress",641813,"DR. SUBHAS SARKAR","Bharatiya Janata Party",609035,32778
"UTTAR PRADESH",FATEHPUR,"NARESH CHANDRA UTTAM PATEL","Samajwadi Party",500328,"NIRANJAN JYOTI","Bharatiya Janata Party",467129,33199
"UTTAR PRADESH",MISRIKH,"ASHOK KUMAR RAWAT","Bharatiya Janata Party",475016,"SANGITA RAJVANSHI","Samajwadi Party",441610,33406
PUNJAB,"FATEHGARH SAHIB","AMAR SINGH","Indian National Congress",332591,"GURPREET SINGH GP","Aam Aadmi Party",298389,34202
"UTTAR PRADESH",KHERI,"UTKARSH VERMA  MADHUR","Samajwadi Party",557365,"AJAY KUMAR","Bharatiya Janata Party",523036,34329
"UTTAR PRADESH",BAREILLY,"CHHATRA PAL SINGH GANGWAR","Bharatiya Janata Party",567127,"PRAVEEN SINGH ARON","Samajwadi Party",532323,34804
"UTTAR PRADESH",DEORIA,"SHASHANK MANI","Bharatiya Janata Party",504541,"AKHILESH PRATAP SINGH","Indian National Congress",469699,34842
"UTTAR PRADESH",BADAUN,"ADITYA YADAV","Samajwadi Party",501855,"DURVIJAY SINGH SHAKYA","Bharatiya Janata Party",466864,34991
ODISHA,BHUBANESWAR,"APARAJITA SARANGI","Bharatiya Janata Party",512519,"MANMATH KUMAR ROUTRAY","Biju Janata Dal",477367,35152
"UTTAR PRADESH",MAHARAJGANJ,"PANKAJ CHAUDHARY","Bharatiya Janata Party",591310,"VIRENDRA CHAUDHARY","Indian National Congress",555859,35451
"UTTAR PRADESH",UNNAO,"SWAMI SACHCHIDANAND HARI SAKSHI","Bharatiya Janata Party",616133,"ANNU TANDON","Samajwadi Party",580315,35818
"UTTAR PRADESH",MACHHLISHAHR,"PRIYA SAROJ","Samajwadi Party",451292,"BHOLANATH (B.P. SAROJ)","Bharatiya Janata Party",415442,35850
MAHARASHTRA,"BHANDARA GONDIYA","DR. PRASHANT YADAORAO PADOLE","Indian National Congress",587413,"SUNIL BABURAO MENDHE","Bharatiya Janata Party",550033,37380
"UTTAR PRADESH",BIJNOR,"CHANDAN CHAUHAN","Rashtriya Lok Dal",404493,DEEPAK,"Samajwadi Party",366985,37508
"UTTAR PRADESH",MIRZAPUR,"ANUPRIYA PATEL","Apna Dal (Soneylal)",471631,"RAMESH CHAND BIND","Samajwadi Party",433821,37810
TELANGANA,MEDAK,"MADHAVANENI RAGHUNANDAN RAO","Bharatiya Janata Party",471217,"NEELAM MADHU","Indian National Congress",432078,39139
"WEST BENGAL",COOCHBEHAR,"JAGADISH CHANDRA BARMA BASUNIA","All India Trinamool Congress",788375,"NISITH PRAMANIK","Bharatiya Janata Party",749125,39250
PUNJAB,AMRITSAR,"GURJEET SINGH AUJLA","Indian National Congress",255181,"KULDEEP SINGH DHALIWAL","Aam Aadmi Party",214880,40301
MAHARASHTRA,AKOLA,"ANUP SANJAY DHOTRE","Bharatiya Janata Party",457030,"ABHAY KASHINATH PATIL","Indian National Congress",416404,40626
ODISHA,JAGATSINGHPUR,"BIBHU PRASAD TARAI","Bharatiya Janata Party",589093,"DR. RAJASHREE MALLICK","Biju Janata Dal",548397,40696
HARYANA,BHIWANI-MAHENDRAGARH,"DHARAMBIR SINGH","Bharatiya Janata Party",588664,"RAO DAN SINGH","Indian National Congress",547154,41510
RAJASTHAN,KOTA,"OM BIRLA","Bharatiya Janata Party",750496,"PRAHLAD GUNJAL","Indian National Congress",708522,41974
RAJASTHAN,NAGAUR,"HANUMAN BENIWAL","Rashtriya Loktantrik Party",596955,"JYOTI MIRDHA","Bharatiya Janata Party",554730,42225
KARNATAKA,HASSAN,"SHREYAS. M. PATEL","Indian National Congress",672988,"PRAJWAL REVANNA","Janata Dal  (Secular)",630339,42649
"UTTAR PRADESH",DOMARIYAGANJ,"JAGDAMBIKA PAL","Bharatiya Janata Party",463303,"BHISHMA SHANKAR ALIAS KUSHAL TIWARI","Samajwadi Party",420575,42728
"UTTAR PRADESH",SULTANPUR,"RAMBHUAL NISHAD","Samajwadi Party",444330,"MANEKA SANJAY GANDHI","Bharatiya Janata Party",401156,43174
CHHATTISGARH,KORBA,"JYOTSNA CHARANDAS MAHANT","Indian National Congress",570182,"SAROJ PANDEY","Bharatiya Janata Party",526899,43283
"UTTAR PRADESH",BALLIA,"SANATAN PANDEY","Samajwadi Party",467068,"NEERAJ SHEKHAR","Bharatiya Janata Party",423684,43384
"UTTAR PRADESH","FATEHPUR SIKRI","RAJKUMAR CHAHAR","Bharatiya Janata Party",445657,"RAMNATH SINGH SIKARWAR","Indian National Congress",402252,43405
KARNATAKA,HAVERI,"BASAVARAJ BOMMAI","Bharatiya Janata Party",705538,"ANANDSWAMY GADDADEVARMATH","Indian National Congress",662025,43513
"UTTAR PRADESH",BHADOHI,"DR. VINOD KUMAR BIND","Bharatiya Janata Party",459982,"LALITESHPATI TRIPATHI","All India Trinamool Congress",415910,44072
PUNJAB,HOSHIARPUR,"DR. RAJ KUMAR CHABBEWAL","Aam Aadmi Party",303859,"YAMINI GOMAR","Indian National Congress",259748,44111
"UTTAR PRADESH",AKBARPUR,"DEVENDRA SINGH ALIAS BHOLE SINGH","Bharatiya Janata Party",517423,"RAJARAM PAL","Samajwadi Party",473078,44345
CHHATTISGARH,RAJNANDGAON,"SANTOSH PANDEY","Bharatiya Janata Party",712057,"BHUPESH BAGHEL","Indian National Congress",667646,44411
TELANGANA,ZAHIRABAD,"SURESH KUMAR SHETKAR","Indian National Congress",528418,"B. B. PATIL","Bharatiya Janata Party",482230,46188
"UTTAR PRADESH",GONDA,"KIRTIVARDHAN SINGH","Bharatiya Janata Party",474258,"SHREYA VERMA","Samajwadi Party",428034,46224
KARNATAKA,KOPPAL,"K. RAJASHEKAR BASAVARAJ HITNAL","Indian National Congress",663511,"DR . BASAVARAJ. K. SHARANAPPA","Bharatiya Janata Party",617154,46357
"WEST BENGAL",KANTHI,"ADHIKARI SOUMENDU","Bharatiya Janata Party",763195,"UTTAM BARIK SON OF LATE BIRENDRA BARIK","All India Trinamool Congress",715431,47764
MAHARASHTRA,"RATNAGIRI- SINDHUDURG","NARAYAN TATU RANE","Bharatiya Janata Party",448514,"VINAYAK BHAURAO RAUT","Shiv Sena (Uddhav Balasaheb Thackrey)",400656,47858
KARNATAKA,CHITRADURGA,"GOVIND MAKTHAPPA KARJOL","Bharatiya Janata Party",684890,B.N.CHANDRAPPA,"Indian National Congress",636769,48121
RAJASTHAN,ALWAR,"BHUPENDER YADAV","Bharatiya Janata Party",631992,"LALIT YADAV","Indian National Congress",583710,48282
HARYANA,AMBALA,"VARUN CHAUDHRY","Indian National Congress",663657,"BANTO KATARIA","Bharatiya Janata Party",614621,49036
PUNJAB,BATHINDA,"HARSIMRAT KAUR BADAL","Shiromani Akali Dal",376558,"GURMEET SINGH KHUDIAN","Aam Aadmi Party",326902,49656
BIHAR,KATIHAR,"TARIQ ANWAR","Indian National Congress",567092,"DULAL CHANDRA GOSWAMI","Janata Dal  (United)",517229,49863
TELANGANA,SECUNDERABAD,"G. KISHAN REDDY","Bharatiya Janata Party",473012,"DANAM NAGENDER","Indian National Congress",423068,49944
"ANDHRA PRADESH",ONGOLE,"MAGUNTA SREENIVASULU REDDY","Telugu Desam",701894,"DR CHEVIREDDY BHASKAR REDD","Yuvajana Sramika Rythu Congress Party",651695,50199
MAHARASHTRA,SHIRDI,"BHAUSAHEB RAJARAM WAKCHAURE","Shiv Sena (Uddhav Balasaheb Thackrey)",476900,"LOKHANDE SADASHIV KISAN","Shiv Sena",426371,50529
"ANDHRA PRADESH",ARAKU,"GUMMA THANUJA RANI","Yuvajana Sramika Rythu Congress Party",477005,"KOTHAPALLI GEETHA","Bharatiya Janata Party",426425,50580
NAGALAND,NAGALAND,"S SUPONGMEREN JAMIR","Indian National Congress",401951,"DR CHUMBEN MURRY","Nationalist Democratic Progressive Party",350967,50984
BIHAR,SITAMARHI,"DEVESH CHANDRA THAKUR","Janata Dal  (United)",515719,"ARJUN RAY","Rashtriya Janata Dal",464363,51356
ASSAM,KOKRAJHAR,"JOYANTA BASUMATARY","United People’s Party Liberal",488995,"KAMPA BORGOYARI","Bodoland Peoples Front",437412,51583
RAJASTHAN,BHARATPUR,"SANJNA JATAV","Indian National Congress",579890,"RAMSWAROOP KOLI","Bharatiya Janata Party",527907,51983
"MADHYA PRADESH",MORENA,"SHIVMANGAL SINGH TOMAR","Bharatiya Janata Party",515477,"NEETU SATYAPAL SINGH SIKARWAR","Indian National Congress",462947,52530
MAHARASHTRA,"MUMBAI SOUTH","ARVIND GANPAT SAWANT","Shiv Sena (Uddhav Balasaheb Thackrey)",395655,"YAMINI YASHWANT JADHAV","Shiv Sena",342982,52673
MAHARASHTRA,"MUMBAI SOUTH CENTRAL","ANIL YESHWANT DESAI","Shiv Sena (Uddhav Balasaheb Thackrey)",395138,"RAHUL RAMESH SHEWALE","Shiv Sena",341754,53384
"TAMIL NADU",KALLAKURICHI,"MALAIYARASAN D","Dravida Munnetra Kazhagam",561589,"KUMARAGURU R","All India Anna Dravida Munnetra Kazhagam",507805,53784
"UTTAR PRADESH",JALAUN,"NARAYAN DAS AHIRWAR","Samajwadi Party",530180,"BHANU PRATAP SINGH VERMA","Bharatiya Janata Party",476282,53898
"UTTAR PRADESH",FAIZABAD,"AWADHESH PRASAD","Samajwadi Party",554289,"LALLU SINGH","Bharatiya Janata Party",499722,54567
CHHATTISGARH,BASTAR,"MAHESH KASHYAP","Bharatiya Janata Party",458398,"KAWASI LAKHMA","Indian National Congress",403153,55245
"UTTAR PRADESH",SHAHJAHANPUR,"ARUN KUMAR SAGAR","Bharatiya Janata Party",592718,"JYOTSNA GOND","Samajwadi Party",537339,55379
RAJASTHAN,BIKANER,"ARJUN RAM MEGHWAL","Bharatiya Janata Party",566737,"GOVINDRAM MEGHWAL","Indian National Congress",511026,55711
"WEST BENGAL",KRISHNANAGAR,"MAHUA MOITRA","All India Trinamool Congress",628789,"AMRITA ROY","Bharatiya Janata Party",572084,56705
ODISHA,CUTTACK,"BHARTRUHARI MAHTAB","Bharatiya Janata Party",531601,"SANTRUPT MISRA","Biju Janata Dal",474524,57077
"DADRA & NAGAR HAVELI AND DAMAN & DIU","DADAR & NAGAR HAVELI","DELKAR KALABEN MOHANBHAI","Bharatiya Janata Party",121074,"AJIT RAMJIBHAI MAHALA","Indian National Congress",63490,57584
"UTTAR PRADESH",ETAWAH,"JITENDRA KUMAR DOHARE","Samajwadi Party",490747,"DR RAM SHANKAR KATHERIA","Bharatiya Janata Party",432328,58419
"UTTAR PRADESH",ALLAHABAD,"UJJWAL RAMAN SINGH","Indian National Congress",462145,"NEERAJ TRIPATHI","Bharatiya Janata Party",403350,58795
MAHARASHTRA,NANDED,"CHAVAN VASANTRAO BALWANTRAO","Indian National Congress",528894,"CHIKHALIKAR PRATAPRAO GOVINDRAO","Bharatiya Janata Party",469452,59442
"WEST BENGAL",ASANSOL,"SHATRUGHAN PRASAD SINHA","All India Trinamool Congress",605645,"SURENDRAJEET SINGH AHLUWALIA","Bharatiya Janata Party",546081,59564
BIHAR,KISHANGANJ,"MOHAMMAD JAWED","Indian National Congress",402850,"MUJAHID ALAM","Janata Dal  (United)",343158,59692
BIHAR,ARRAH,"SUDAMA PRASAD","Communist Party of India  (Marxist-Leninist)  (Liberation)",529382,"R. K. SINGH","Bharatiya Janata Party",469574,59808
CHHATTISGARH,JANJGIR-CHAMPA,"KAMLESH JANGDE","Bharatiya Janata Party",678199,"DR. SHIVKUMAR DAHARIYA","Indian National Congress",618199,60000
BIHAR,UJIARPUR,"NITYANAND RAI","Bharatiya Janata Party",515965,"ALOK KUMAR MEHTA","Rashtriya Janata Dal",455863,60102
MAHARASHTRA,LATUR,"DR. KALGE SHIVAJI BANDAPPA","Indian National Congress",609021,"SUDHAKAR TUKARAM SHRANGARE","Bharatiya Janata Party",547140,61881
"ANDHRA PRADESH",KADAPA,"Y. S. AVINASH REDDY","Yuvajana Sramika Rythu Congress Party",605143,"CHADIPIRALLA BHUPESH SUBBARAMI REDDY","Telugu Desam",542448,62695
HARYANA,HISAR,"JAI PARKASH (J P) S/O HARIKESH","Indian National Congress",570424,"RANJIT SINGH","Bharatiya Janata Party",507043,63381
KERALA,ALAPPUZHA,"K. C VENUGOPAL","Indian National Congress",404560,"A. M ARIFF","Communist Party of India  (Marxist)",341047,63513
KERALA,CHALAKUDY,"BENNY BEHANAN","Indian National Congress",394171,"PROF C RAVEENDRANATH","Communist Party of India  (Marxist)",330417,63754
"UTTAR PRADESH",BAHARAICH,"ANAND KUMAR","Bharatiya Janata Party",518802,"RAMESH CHANDRA","Samajwadi Party",454575,64227
"WEST BENGAL",BARRACKPUR,"PARTHA BHOWMICK","All India Trinamool Congress",520231,"ARJUN SINGH","Bharatiya Janata Party",455793,64438
"UTTAR PRADESH",SAHARANPUR,"IMRAN MASOOD","Indian National Congress",547967,"RAGHAV LAKHANPAL","Bharatiya Janata Party",483425,64542
CHHATTISGARH,SURGUJA,"CHINTAMANI MAHARAJ","Bharatiya Janata Party",713200,"SHASHI SINGH KORAM","Indian National Congress",648378,64822
"MADHYA PRADESH",BHIND,"SANDHYA RAY","Bharatiya Janata Party",537065,"PHOOL SINGH BARAIYA","Indian National Congress",472225,64840
RAJASTHAN,"TONK-SAWAI MADHOPUR","HARISH CHANDRA MEENA","Indian National Congress",623763,"SUKHBIR SINGH JAUNAPURIA","Bharatiya Janata Party",558814,64949
KERALA,PATHANAMTHITTA,"ANTO ANTONY","Indian National Congress",367623,"DR.T.M.THOMAS ISSAC","Communist Party of India  (Marxist)",301504,66119
MAHARASHTRA,BHIWANDI,"BALYA MAMA - SURESH GOPINATH MHATRE","Nationalist Congress Party – Sharadchandra Pawar",499464,"KAPIL MORESHWAR PATIL","Bharatiya Janata Party",433343,66121
"UTTAR PRADESH",PRATAPGARH,"SHIV PAL SINGH PATEL (DR. S P SINGH)","Samajwadi Party",441932,"SANGAM LAL GUPTA","Bharatiya Janata Party",375726,66206
ODISHA,KENDRAPARA,"BAIJAYANT PANDA","Bharatiya Janata Party",615705,"ANSHUMAN MOHANTY","Biju Janata Dal",549169,66536
BIHAR,NAWADA,"VIVEK THAKUR","Bharatiya Janata Party",410608,"SHRAWAN KUMAR","Rashtriya Janata Dal",342938,67670
"WEST BENGAL",RAIGANJ,"KARTICK CHANDRA PAUL","Bharatiya Janata Party",560897,"KALYANI KRISHNA","All India Trinamool Congress",492700,68197
MIZORAM,MIZORAM,"RICHARD VANLALHMANGAIHA","Zoram People’s Movement",208552,"K VANLALVENA","Mizo National Front",140264,68288
KARNATAKA,BAGALKOT,"GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.","Bharatiya Janata Party",671039,"SAMYUKTA SHIVANAND PATIL","Indian National Congress",602640,68399
"UTTAR PRADESH",KAIRANA,"IQRA CHOUDHARY","Samajwadi Party",528013,"PRADEEP KUMAR","Bharatiya Janata Party",458897,69116
PUNJAB,FARIDKOT,"SARABJEET SINGH KHALSA",Independent,298062,"KARAMJIT SINGH ANMOL","Aam Aadmi Party",228009,70053
"MADHYA PRADESH",GWALIOR,"BHARAT SINGH KUSHWAH","Bharatiya Janata Party",671535,"PRAVEEN PATHAK","Indian National Congress",601325,70210
"UTTAR PRADESH",MOHANLALGANJ,"R.K. CHAUDHARY","Samajwadi Party",667869,"KAUSHAL KISHORE","Bharatiya Janata Party",597577,70292
"TAMIL NADU",SALEM,"SELVAGANAPATHI T M","Dravida Munnetra Kazhagam",566085,"VIGNESH P","All India Anna Dravida Munnetra Kazhagam",495728,70357
"WEST BENGAL","DUM DUM","SOUGATA RAY","All India Trinamool Congress",528579,"SILBHADRA DATTA","Bharatiya Janata Party",457919,70660
"TAMIL NADU",VILUPPURAM,"RAVIKUMAR. D","Viduthalai Chiruthaigal Katchi",477033,"BHAGYARAJ. J","All India Anna Dravida Munnetra Kazhagam",406330,70703
